,Building,Level,Tier,Plots,Land type,Minimum island size,Type,"Resource required to build (per level, if aplicable)",Storage per level,Construction dificulty,"Rules, bonuses and advantages",Resources / RUM needed to run production,Produces,Other building requred,Key Tool
,Sugar Cane Farm,1-5,1,1,Land,S,farm,wood (20) sugar cane (25) cotton (50) planks (100) stone (20),,,"basic output +0,1 per level up to +0,5 on level 5",,sugarcane cultivation+harvest+skill+bonus+sugarcane_island_bonus,0,
,Tobacco Farm,1-5,1,1,Land,S,farm,wood (20) tobacco (25) cotton (50) planks (100) stone (20),,,"basic output +0,1 per level up to +0,5 on level 5",,tobacco cultivation+harvest+skill+bonus+tobacco_island_bonus,0,
,Grain Farm,1-5,1,1,Land,S,farm,wood (20) grain (25) cotton (50) planks (100) stone (20),,,"basic output +0,1 per level up to +0,5 on level 5",,grain cultivation+harvest+skill+bonus+grain_island_bonus,0,
,Coconut Grove,1-5,1,1,Land,S,farm,wood (20) coconut (25) cotton (50) planks (100) stone (20),,,"basic output +0,1 per level up to +0,5 on level 5",,Cocos,Forester's lodge,
,Citrus Orchard,1-5,1,1,Land,S,farm,wood (20) citrus (25) cotton (50) planks (100) stone (20),,,"basic output +0,1 per level up to +0,5 on level 5",,Citrus,Forester's lodge,
,Pig Farm,1-5,1,1,Land,S,farm,wood (20) planks (100) pigs (5) cotton (50) planks (100) stone (20),,,"basic output +0,1 per level up to +0,5 on level 5",,Pigs,0,
,Cotton Plantation,1-5,1,1,Land cotton,S,farm,wood (20) cotton (75) planks (100) stone (20),,,"basic output +0,5 per level up to +2,5 on level 5",,cotton cultivation+harvest+skill+bonus+cotton_island_bonus,0,
,Sugar Cane Plantation,1-5,1,1,Land sugar cane,S,farm,wood (20) sugar cane (25) cotton (50) planks (100) stone (20),,,"basic output +0,5 per level up to +2,5 on level 5",,sugarcane cultivation+harvest+skill+bonus+sugarcane_island_bonus,0,
,Tobacco Plantation,1-5,1,1,Land tobacco,S,farm,wood (20) tobacco (25) cotton (50) planks (100) stone (20),,,"basic output +0,5 per level up to +2,5 on level 5",,tobacco cultivation+harvest+skill+bonus+tobacco_island_bonus,0,
,Grain Plantation,1-5,1,1,Land grain,S,farm,wood (20) grain (25) cotton (50) planks (100) stone (20),,,"basic output +0,5 per level up to +2,5 on level 5",,grain cultivation+harvest+skill+bonus+grain_island_bonus,0,
,Coconut Plantation,1-5,1,1,Land coconut,S,farm,wood (20) coconut (25) cotton (50) planks (100) stone (20),,,"basic output +0,5 per level up to +2,5 on level 5",,Cocos,Forester's lodge,
,Citrus Plantation,1-5,1,1,Land citrus,S,farm,wood (20) citrus (25) cotton (50) planks (100) stone (20),,,"basic output +0,5 per level up to +2,5 on level 5",,Citrus,Forester's lodge,
,,,,,,,,,,,,,,,
,Forester's lodge,1-5,1,1,Land,S,forest,wood (20) planks (100) cotton (50),,,"basic output *1,1 per level up to *1,5 on level 5",food medium,Wood,Forester's lodge,
,Lumbermill,1-5,1,1,Land,S,forest,"wood (30), planks (150), cotton (75)",,,Strenght,"food medium, wood",Planks,Forester's lodge,
,Hunter's hut,1-5,1,1,Land,M,forest,wood (20) planks (100) cotton (50),,,"basic output +0,1 per level up to +0,5 on level 5",bullets+gunpowder+tobacco,Wild_animals (non tradable),Forester's lodge,
,Hunter's lodge,1-5,1,1,Land wildgame,L,forest,wood (20) planks (100) cotton (50),,,"basic output +0,5 per level up to +2,5 on level 5",,,,
,Charcoal pile,1-5,1,1,Land,S,forest,wood (20) planks (100) stone (20),,,Stamina,wood,Charcoal,Cottage,
,,,,,,,,,,,,,,,
,Mill,1-5,1,1,Land,S,food processing,wood (100) planks (500) cotton (250) stone (100) ,,,Stamina*50,Grain,Flour,Cottage,
,Bakery,1-5,1,1,Land,S,food processing,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Agility*100,Flour,Bread (non tradable),House,
,Slaughterhouse,1-5,1,1,Land,S,food processing,wood (20) planks (100) cotton (50),,,Melee*5+Slaughter,Pigs or Wild_animals,Meat (non tradable),0,
,Food processing house,1-5,1,1,Land,S,food processing,wood (20) planks (100) cotton (50),,,Stamina*30,meat or fish,Barrelled_food,House,
,,,,,,,,,,,,,Forest,0,
,Slaughterplace,1-5,2,2,Land,M,food processing,wood (200) planks (1000) cotton (500) stone (200) bricks (1000),,,Melee*20+Slaughter,5 x Pigs or 5 x Wild_animals,Meat (non tradable) 5xeficiency,House,
,Food processing plant,1-5,2,2,Land,M,food processing,wood (200) planks (1000) cotton (500) stone (200) bricks (1000),,,Stamina*30,5 x meat or 5 x fish,Barrelled_food 5xeficiency,House,
,Big Bakery,1-5,2,2,Land,M,food processing,wood (200) planks (1000) cotton (500) stone (200) bricks (1000),,,,,,,
,,,,,,,,,,,,,,,
,Fishery I,1-5,1,1,Sea,S,maritime,wood (20) planks (100) cotton (50),,,Swimming+Luck+Rope,,fish,0,
,Fishery II,1-5,2,2,Sea,M,maritime,wood (100) planks (500) cotton (250) stone (100) ,,,Swimming+Luck+Rope,bread or meat or fish,4xfish,0,
,Fishery III,1-5,3,4,Sea,L,maritime,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Swimming+Luck+Rope,bread or meat or fish,8xfish,Cottage,
,Fishery IV,1-5,4,7,Sea,XL,maritime,wood (200) planks (1000) cotton (500) stone (200) bricks (1000) bronze (50),,,Swimming+Luck+Rope,bread or meat or fish,16xfish,House,
,Fishfarm I,1-5,1,1,Sea fish,S,maritime,wood (20) planks (100) cotton (50),,,Swimming+Luck+Rope,,fish,0,
,Fishfarm II,1-5,2,2,Sea fish,M,maritime,wood (100) planks (500) cotton (250) stone (100) ,,,Swimming+Luck+Rope,bread or meat or fish,4xfish,0,
,Fishfarm III,1-5,3,4,Sea fish,L,maritime,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Swimming+Luck+Rope,bread or meat or fish,8xfish,Cottage,
,Fishfarm IV,1-5,4,7,Sea fish,XL,maritime,wood (200) planks (1000) cotton (500) stone (200) bricks (1000) bronze (50),,,Swimming+Luck+Rope,bread or meat or fish,16xfish,House,
,Shipyard I,1-5,1,1,Sea,S,maritime,wood (20) planks (100) cotton (50),,,Swimming+Wisdom+Rope/5,planks,Sailboats (Longboat),0,
,Shipyard II,1-5,2,2,Sea,M,maritime,wood (100) planks (500) cotton (250) stone (100) ,,,Swimming+Wisdom+Rope/5,,Small_ships (Sloop),Cottage,
,Shipyard III,1-5,3,4,Sea,L,maritime,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Swimming+Wisdom+Rope/5,,Medium_ships (Merchantman),House,
,Shipyard IV,1-5,4,6,Sea,XL,maritime,wood (200) planks (1000) cotton (500) stone (200) bricks (1000) bronze (50),,,Swimming+Wisdom+Rope/5,,Large_ships (Galeon),Residence,
,Port I,1-5,1,1,Sea,S,maritime,wood (20) planks (100) cotton (50),,,skraca czas załadunku czy rozładunku towarów w ramach misji transportowych czy handlowych,,2 slots for docking ships,0,
,Port II,1-5,2,2,Sea,M,maritime,wood (100) planks (500) cotton (250) stone (100) ,,,skraca czas załadunku czy rozładunku towarów w ramach misji transportowych czy handlowych x2,,4 slots for docking ships,0,
,Port III,1-5,3,4,Sea,L,maritime,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,skraca czas załadunku czy rozładunku towarów w ramach misji transportowych czy handlowych x4,,8 slots for docking ships,Cottage,
,Port IV,1-5,4,7,Sea,XL,maritime,wood (200) planks (1000) cotton (500) stone (200) bricks (1000) bronze (50),,,skraca czas załadunku czy rozładunku towarów w ramach misji transportowych czy handlowych x8,,16 slots for docking ships,House,
,,,,,,,,,,,,,,,
,Gold Mine,1-5,1,1,Land gold,M,mining,wood (100) planks (500) cotton (250),,,Mining*(Strenght*(Rope+Torch/Firetorch)),bread or meat or fish,Gold_ore,House,
,Iron Mine,1-5,1,1,Land iron,M,mining,wood (100) planks (500) cotton (250),,,Mining*(Strenght*(Rope+Torch/Firetorch)),bread or meat or fish,Iron_ore,Cottage,
,Copper Mine,1-5,1,1,Land copper,M,mining,wood (100) planks (500) cotton (250),,,Mining*(Strenght*(Rope+Torch/Firetorch)),bread or meat or fish,Copper_ore,Cottage,
,Tin Mine,1-5,1,1,Land tin,M,mining,wood (100) planks (500) cotton (250),,,Mining*(Strenght*(Rope+Torch/Firetorch)),bread or meat or fish,Tin_ore,Cottage,
,Lead Mine,1-5,1,1,Land lead,M,mining,wood (100) planks (500) cotton (250),,,Mining*(Strenght*(Rope+Torch/Firetorch)),bread or meat or fish,Lead_ore,Cottage,
,Coal Mine,1-5,1,1,Land coal,M,mining,wood (100) planks (500) cotton (250),,,Mining*(Strenght*(Rope+Torch/Firetorch)),bread or meat or fish,Coal,Cottage,
,Stone Quarry,1-5,1,1,Land stone,M,mining,wood (100) planks (500) cotton (250),,,Quarrying*Strenght+2,bread or meat or fish,Stone,Cottage,
,Sulfur Pit,1-5,1,1,Land sulfur,M,mining,wood (100) planks (500) cotton (250),,,Excavation*Strenght+2,bread or meat or fish,Sulfur,Cottage,
,Saltpeter Pit,1-5,1,1,Land saltpeter,M,mining,wood (100) planks (500) cotton (250),,,Excavation*Strenght+2,bread or meat or fish,Raw_saltpeter,Cottage,
,Clay Pit,1-5,1,1,Land clay,M,mining,wood (100) planks (500) cotton (250),,,Excavation*Strenght+2,bread or meat or fish,Clay,Cottage,
,,,,,,,,,,,,,,,
,Lead Bullet Workshop,1-5,1,1,Land,S,crafting,wood (20) planks (100) cotton (50),,,Agility*300,Lead_bar+coal+planks+PCA,Bullets,Cottage,
,Crate craft workshop,1-5,1,1,Land,S,crafting,wood (20) planks (100) cotton (50),,,,,,,
,Cooper's workshop,1-5,1,1,Land,S,crafting,wood (100) planks (500) cotton (250) stone (100) ,,,Agility*Crafting*10,Planks+PCA,Barrels,Cottage,
,Yarn manufacture,1-5,1,1,Land,S,crafting,wood (100) planks (500) cotton (250) stone (100) ,,,Agility*30,Cotton,Yarn,Cottage,
,Loom,1-5,1,1,Land,S,crafting,wood (100) planks (500) cotton (250) stone (100) ,,,Agility*30,Yarn,Fabric,Cottage,
,Gunpowder workshop,1-5,2,1,Land,S,crafting,wood (100) planks (500) cotton (250) stone (100) ,,,Knowledge+Monocle+Book/Book_golden,Barrels+Saltpeter+Sulfur+Charcoal+PCA,Gunpowder,Cottage,
,Blacksmith,1-5,2,1,Land,S,crafting,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Agility*Crafting,RUM+Coal+Iron_Bar,"Melee_weapons, Tools, Sawmills,  ",House,
,Gunsmith Shop,1-5,2,1,Land,S,crafting,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Agility*Crafting/2+Monocle,RUM+Coal+Iron_Bar+Copper_bar,Firearms,House,
,Saltpeter works,1-5,2,1,Land,S,crafting,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Knowledge+Monocle+Book/Book_golden,Raw_saltpeter,Saltpeter,House,
,Sugarmill,1-5,2,1,Land,S,crafting,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,,,,,
,,,,,,,,,,,,,,,
,Brickworks,1-5,1,2,Land,M,industry,wood (100) planks (500) cotton (250) stone (100) ,,,Agility*30,Clay,Bricks,Cottage,
,Ironworks,1-5,1,2,Land,M,industry,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Agility+Engineering+Knowledge*3+Monocle+Book/Book_golden,Iron_ore+Coal or Iron_ore+4*Charcoal,Iron_bar,Cottage,
,Copper smelter,1-5,1,2,Land,M,industry,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Agility+Engineering+Knowledge*3+Monocle+Book/Book_golden,Copper_ore+Coal,Copper_bar,Cottage,
,Tin smelter,1-5,1,2,Land,M,industry,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Agility+Engineering+Knowledge*3+Monocle+Book/Book_golden,Tin_ore+Coal,Tin_bar,Cottage,
,Bronze smelter,1-5,1,2,Land,M,industry,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Agility+Engineering+Knowledge*3+Monocle+Book/Book_golden,Copper_bar+Tin_bar+Coal,Bronze_bar,Cottage,
,Lead smelter,1-5,1,2,Land,M,industry,wood (100) planks (500) cotton (250) stone (100) bricks (250),,,Agility+Engineering+Knowledge*3+Monocle+Book/Book_golden,Lead_ore+Coal,Lead_bar,Cottage,
,Gold smelter,1-5,1,2,Land,M,industry,wood (100) planks (500) cotton (250) stone (100) bricks (250) iron bars (50),,,Agility+Engineering+Knowledge*3+Monocle+Book/Book_golden,Gold_ore+Coal,Gold_bar,Residence,
,Bronze foundry,1-5,2,2,Land,M,industry,wood (200) planks (1000) cotton (500) stone (200) bricks (1000),,,Engineering+Cannons+Knowledge+Monocle+Book/Book_golden,Bronze_bar+Coal,"Marine_items, Cannons",House,
,Foundry,1-5,2,2,Land,M,industry,wood (200) planks (1000) cotton (500) stone (200) bricks (1000),,,Engineering+Knowledge*10 / *1000+Monocle+Book/Book_golden,Iron_bar+Coal,"Cannonbals, PCA",House,
,,,,,,,,,,,,,,,
,Distillery,1-5,,2,Land,L,licensed,wood (100) planks (500) cotton (250) stone (200) bricks (1000) copper bars (500),,,,Cugar_cane+Coal,$RUM_from_the_pool,Residence,
,Bank,1-5,,2,Land,L,licensed,wood (100) planks (500) cotton (250) stone (200) bricks (1000) iron bars (500),,,,DeFi,Unlocks_$RUM_Staking,Residence,
,Mint,1-5,,2,Land,XL,licensed,wood (100) planks (500) cotton (250) stone (200) bricks (1000) iron bars (500),,,1 Gold_bar+1 Coal+200 RUM,Gold_bar+Coal,$ARRC,Palace,
